Reserve_Location,Vegetation_Type,Water_Source_Availability,Human_Activity_Index,Predator_Count,Reserve_Area,Season,Average_Temperature,Rainfall,Altitude,Food_Availability_Index,Nearby_Population,Illegal_Activities_Index,Soil_Quality_Index,Number_of_Protected_Species,Tourism_Index,Funding_Level,Reserve_Accessibility,Species_Population
East,Desert,1,0.11689804070836407,13.0,467.2300187657537,Winter,5.9433409160569415,34.503796306408155,197.66157123594567,0.8861817721293451,3567,0.29806620117000415,0.7744856031197909,43,0.12369085061376073,781.9325797882088,Easy,10
West,Grassland,0,0.9398321236134751,14.0,155.5889368349541,Autumn,19.109937329705694,470.392260251554,2649.638740543618,0.9343041141674903,2056,0.3204012861402149,0.13443342736955,33,0.5832761971390966,195.35896084860838,Difficult,140
North,Grassland,0,0.6277080530714179,13.0,229.69216211418868,Spring,8.558621171881377,253.46021898091732,805.8503813337384,0.9164205445320662,3899,0.16428684327240928,0.4677206159711509,43,0.7347592888493786,86.74863550138157,Moderate,76
East,Wetland,0,0.3349056146570861,6.0,118.58720599868785,Spring,20.05370834001165,204.70603590850916,1716.2777917617234,0.6354143568619098,1016,0.7831614309236972,0.605896815179483,4,0.3215330088383408,605.4444853053424,Easy,302
East,Desert,0,0.13927207266338726,9.238297872340425,496.6175759712688,Spring,25.279293132191228,405.4392905039592,213.0400299172782,0.6298206544347077,2062,0.12249786196598922,0.42835180056884625,4,0.03465070981401708,57.09476050988393,Difficult,476
West,Grassland,0,0.794025189270296,11.0,467.15043556593287,Spring,24.42025092460684,417.912963955258,2033.8574347864085,0.4032106331838228,838,0.6349066591531628,0.027106652336233106,30,0.12722488693701073,672.8258885580842,Difficult,294
North,Wetland,1,0.6200727559285135,19.0,292.98070862625184,Winter,8.727644351006067,166.0955165578023,1036.7793026868721,0.7523978823037879,1637,0.12384602670581746,0.7835015025879088,44,0.9146945603370571,530.4242203272427,Moderate,98
North,Desert,0,0.5334610919763215,3.0,428.9149824693896,Summer,-1.6569899150623595,346.80902873689763,2703.965642177231,0.5312940183509319,4321,0.07053563759295656,0.010513224541653488,8,0.493543659589453,662.7857327436636,Difficult,426
East,Wetland,1,0.8938925830509576,9.238297872340425,284.431089772419,Winter,11.526466923110377,385.5614079259433,2675.542747908704,0.6774380712282945,3496,0.9094295036858765,0.761889894377484,41,0.45357280961517477,590.170773649744,Difficult,109
South,Forest,1,0.7885972112245307,5.0,330.6135596012419,Autumn,-2.8702927959045628,327.32534343297726,1043.3427932490686,0.42845790384879545,1813,0.19012876631870568,0.8933044937881227,31,0.038049178310090914,422.7025695271728,Easy,198
East,Grassland,0,0.15167487973275118,15.0,90.10599445220748,Winter,34.504851759190416,75.79753740004969,2712.786597502357,0.7314964640431391,3479,0.8212501545597043,0.4328399210571723,32,0.7286370223168991,200.87718014022826,Easy,486
